RecordID,Name,NameAlphabetized,OperationalStatus,OrganizationType,Description,URL,AlternateNames,Acronym,AlternateAcronyms,BudgetCode,OpenDatasetsURL,FoundingYear,PrincipalOfficerName,PrincipalOfficerTitle,PrincipalOfficerContactURL,Notes,InstanceOf,Name - NYC.gov Agency List,Name - NYC.gov Mayor's Office,Name - NYC Open Data Portal,Name - ODA,Name - CPO,Name - WeGov,Name - Greenbook,Name - Checkbook,Name - HOO,Name - Ops,NYC.gov Agency Directory,Jan 2025 Org Chart
NYC_GOID_000135,Department for the Aging,"Aging, Department for the",Active,Mayoral Agency,"NYC Aging funds community-based organizations throughout the five boroughs to provided essential services for seniors, including hot meals and activities at senior centers, home-delivered meals, case management, home care, transportation, legal services and caregiver services.    ",https://www.nyc.gov/site/dfta/index.page,,NYC AGING,DFTA,125,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+for+the+Aging+%28NYC Aging%29,1973,Lorraine CortÃ©s-VÃ¡zquez,Commissioner,https://www.nyc.gov/site/dfta/about/email-the-commissioner.page,,,"Aging, Department for the (NYC Aging)","Aging, Department for the (NYC Aging)",Department for the Aging (NYC Aging),Department for the Aging (DFTA),Department for the Aging,Department for the Aging,"Aging, Department for the",Department for the Aging,"Aging, Department for the (NYC Aging)",Department for the Aging,TRUE,TRUE
NYC_GOID_000136,Department of Buildings,"Buildings, Department of",Active,Mayoral Agency,"The Department of Buildings (DOB) ensures the safe and lawful use of over 900,000 buildings and properties by enforcing the Building Code, Zoning Resolution, and other applicable laws. Each year it reviews over 60,000 construction plans, issues over 110,000 new and renewed permits, performs over 300,000 inspections, and issues 12 types of licenses, registrations, and certificates. It facilitates construction by continually streamlining the permit application process, and delivers services with integrity and professionalism.",https://www.nyc.gov/site/buildings/index.page,,DOB,,810,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Buildings+%28DOB%29,1892,Jimmy Oddo,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildob.html,,,"Buildings, Department of (DOB)","Buildings, Department of (DOB)",Department of Buildings (DOB),Department of Buildings (DOB),Department of Buildings,Department of Buildings,Buildings,Department of Buildings,"Buildings, Department of (DOB)",Department of Buildings,TRUE,TRUE
NYC_GOID_000137,Department of City Planning,"City Planning, Department of",Active,Mayoral Agency,"The Department of City Planning (DCP) oversees land use planning for New York City, utilizing zoning regulations to promote strategic growth and sustainable communities throughout the five boroughs.",https://www.nyc.gov/site/planning/index.page,,DCP,,30,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+City+Planning+%28DCP%29,1938,Daniel Garodnick,Director,https://www.nyc.gov/site/planning/about/email-the-director.page,,,"City Planning, Department of (DCP)","City Planning, Department of (DCP)",Department of City Planning (DCP),Department of City Planning (DCP),Department of City Planning,Department of City Planning,City Planning,Department of City Planning,"City Planning, Department of (DCP)",Department of City Planning,TRUE,TRUE
NYC_GOID_000138,Department of Citywide Administrative Services,"Citywide Administrative Services, Department of",Active,Mayoral Agency,,https://www.nyc.gov/site/dcas/index.page,,DCAS,,,,1996,Louis Molina,,https://www.nyc.gov/nyc-resources/mail/dcas-email-the-commissioner.page,,,,,,,,,,,"Citywide Administrative Services, Department of (DCAS)",Department of Citywide Administrative Services,TRUE,TRUE
NYC_GOID_000139,Department of Consumer and Worker Protection,"Consumer and Worker Protection, Department of",Active,Mayoral Agency,The NYC Department of Consumer and Worker Protection (DCWP)'formerly the Department of Consumer Affairs (DCA)'protects and enhances the daily economic lives of New Yorkers to create thriving communities.,https://www.nyc.gov/site/dca/index.page,Department of Consumer Affairs,DCWP,DCA,866,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Consumer+and+Worker+Protection+%28DCWP%29,1969,Vilda Vera Mayuga,Commissioner,https://www.nyc.gov/site/dca/about/email-the-commissioner.page,,,"Consumer and Worker Protection, Department of (DCWP)","Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection (DCWP),Department of Consumer and Worker Protection (DCWP),Department of Consumer and Worker Protection,Department of Consumer and Worker Protection,Consumer and Worker Protection,Department of Consumer & Worker Protection,"Consumer and Worker Protection, Department of (DCWP)",Department of Consumer and Worker Protection,TRUE,TRUE
NYC_GOID_000140,Department of Correction,"Correction, Department of",Active,Mayoral Agency,"The Department of Correction operates ten jails on Rikers Island and additional facilities and court pens throughout the city.  It houses an average daily population of approximately 12,500 inmates.",https://www.nyc.gov/site/doc/index.page,,DOC,,72,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Correction+%28DOC%29,1895,Lynelle Maginley-Liddie,Commissioner,https://www.nyc.gov/site/doc/about/contact-the-commissioner.page,,,"Correction, Department of (DOC)","Correction, Department of (DOC)",Department of Correction (DOC),Department of Correction (DOC),Department of Correction,Department of Correction,"Correction, Department of",Department of Correction,"Correction, Department of (DOC)",Department of Correction,TRUE,TRUE
NYC_GOID_000141,Department of Cultural Affairs,"Cultural Affairs, Department of",Active,Mayoral Agency,"The Department of Cultural Affairs (DCLA) ensures that cultural activities are an integral part of New York City's civic and economic life by providing support, advocacy and technical assistance for the City's cultural community. DCLA's constituency consists of the 34 City-owned cultural institutions comprising the Cultural Institutions Group (CIG) and more than 1,500 other not-for-profit organizations serving constituencies in all neighborhoods of the City. DCLA also provides donated materials for arts programs offered by the public schools and cultural and social service groups, and commissions works of public art at Cityfunded construction projects throughout the City.",https://www.nyc.gov/site/dcla/index.page,,DCLA,,126,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Cultural+Affairs+%28DCLA%29,1962,Laurie Cumbo,Commissioner,https://www.nyc.gov/site/dcla/about/email-the-commissioner.page,,,"Cultural Affairs, Department of (DCLA)","Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs (DCLA),Department of Cultural Affairs (DCLA),Department of Cultural Affairs,Department of Cultural Affairs,Cultural Affairs,Department of Cultural Affairs,"Cultural Affairs, Department of (DCLA)",Department of Cultural Affairs,TRUE,TRUE
NYC_GOID_000142,Department of Design and Construction,"Design and Construction, Department of",Active,Mayoral Agency,"The Department of Design and Construction (DDC) currently manages a design and construction portfolio of over $4.6 billion of the City's capital construction projects. Projects range from streets, highways, sewers and water mains to public safety, health and human service facilities, as well as cultural institutions and libraries. Through a combination of in-house staff and private consultants and contractors, the Department delivers quality, cost-effective projects in a safe and efficient manner.",https://www.nyc.gov/site/ddc/index.page,,DDC,,850,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Design+and+Construction+%28DDC%29,1996,Thomas Foley,Commissioner,https://www.nyc.gov/site/ddc/about/contact-form.page?recipient=Thomas%20Foley,,,"Design and Construction, Department of (DDC)","Design and Construction, Department of (DDC)",Department of Design and Construction (DDC),Department of Design and Construction (DDC),Department of Design and Construction,Department of Design and Construction,Design and Construction,Department of Design and Construction,"Design and Construction, Department of (DDC)",Department of Design & Construction,TRUE,TRUE
NYC_GOID_000143,Department of Education,"Education, Department of",Active,Mayoral Agency,"The New York City Department of Education is the largest system of public schools in the United States, serving about 1.1 million students in over 1,700 schools.",https://www.schools.nyc.gov/,,DOE,,40,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Education+%28DOE%29,1847,Melissa Aviles Ramos,Chancellor,https://www.schools.nyc.gov/get-help,,,"Education, Department of (DOE)","Education, Department of (DOE)",Department of Education (DOE),Department of Education (DOE),,Department of Education,Education,Department of Education,"Education, Department of (DOE)",Department of Education,TRUE,TRUE
NYC_GOID_000144,Department of Environment Protection,"Environmental Protection, Department of",Active,Mayoral Agency,"The NYC DEP protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous substances pollution.",https://www.nyc.gov/site/dep/index.page,,DEP,,826,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Environmental+Protection+%28DEP%29,1977,Rohit Aggarwala,Commissioner,https://www.nyc.gov/nyc-resources/mail/dep-email-the-commissioner.page,,,"Environmental Protection, Department of (DEP)","Environmental Protection, Department of (DEP)",Department of Environmental Protection (DEP),Department of Environmental Protection (DEP),Department of Environmental Protection,Department of Environmental Protection,Environmental Protection,Department of Environmental Protection,"Enviormental Protection, Department of (DEP)",Department of Environment Protection,TRUE,TRUE
NYC_GOID_000145,Department of Finance,"Finance, Department of",Active,Mayoral Agency,"We collect revenue, value property, record property documents, administer tax benefits, adjudicate parking tickets, advise the Mayor on pension issues, and are the chief civil law enforcement officer.",https://www.nyc.gov/site/finance/index.page,,DOF,,836,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Finance+%28DOF%29,,Preston Niblack,Commissioner,https://www.nyc.gov/site/finance/about/contact-by-email/contact-us-general-correspondence.page,,,"Finance, Department of (DOF)","Finance, Department of (DOF)",Department of Finance (DOF),Department of Finance (DOF),Department of Finance,Department of Finance,Finance,Department of Finance,"Finance, Department of (DOF)",Department of Finance,TRUE,TRUE
NYC_GOID_000146,Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of",Active,Mayoral Agency,The Department of Health and Mental Hygiene (DOHMH) protects and promotes the health and mental well being of all New Yorkers.,https://www.nyc.gov/site/doh/index.page,NYC Health; Health Department,DOHMH,DOH,816,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Health+and+Mental+Hygiene+%28DOHMH%29,1870,Michelle Morse,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildoh.html,,,"Health and Mental Hygiene, Department of (DOHMH)","Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene (DOHMH),Department of Health and Mental Hygiene (DOHMH),Department of Health and Mental Hygiene,Department of Health and Mental Hygiene,"Health & Mental Hygiene, Department of",Department of Health and Mental Hygiene,"Health and Mental Hygiene, Department of (DOHMH)",Department of Health and Mental Hygiene,TRUE,TRUE
NYC_GOID_000147,Department of Information Technology and Telecommunications,"Information Technology and Telecommunications, Department of",Reorganized,Mayoral Agency,,,,,,,,,,,,,,,,,,,,,Department of Information Technology and Telecommunications,,,FALSE,FALSE
NYC_GOID_000148,Department of Investigation,"Investigation, Department of",Active,Mayoral Agency,"DOI is NYC's watchdog, exposing and stopping corruption, and referring for prosecution City employees, contractors, and others who engage in fraudulent activities against the City and its taxpayers.",http://www.nyc.gov/doi,,DOI,,32,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Investigation+%28DOI%29,1873,Jocelyn Strauber,Commissioner,https://www.nyc.gov/site/doi/contact/contact-doi.page,,,"Investigation, Department of (DOI)","Investigation, Department of (DOI)",Department of Investigation (DOI),Department of Investigation (DOI),Department of Investigation,Department of Investigation,Investigation,Department of Investigation,"Investigation, Department of (DOI)",Department of Investigation,TRUE,TRUE
NYC_GOID_000149,Department of Parks and Recreation,"Parks and Recreation, Department of",Active,Mayoral Agency,"We oversee parks, athletic fields, playgrounds, public pools, golf courses, and beaches. We look after 650,000 street trees, and are providers of recreational and athletic facilities and programs.",https://www.nycgovparks.org/,NYC Parks,DPR,Parks,846,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Parks+and+Recreation+%28DPR%29,1934,Sue Donoghue,Commissioner,https://www.nyc.gov/assets/home/mail/html/maildpr.html,,,"Parks and Recreation, Department of (DPR)","Parks and Recreation, Department of (DPR)",Department of Parks and Recreation (DPR),Department of Parks and Recreation (PARKS),Department of Parks and Recreation,Department of Parks and Recreation,"Parks, NYC",Department of Parks and Recreation,"Parks and Recreation, Department of (DPR)",Department of Parks & Recreation,FALSE,TRUE
NYC_GOID_000150,Department of Probation,"Probation, Department of",Active,Mayoral Agency,"DOP helps build stronger and safer communities by expanding opportunities for probation clients to seek meaningful education, employment, health services, family engagement and civic participation.",https://www.nyc.gov/site/probation/index.page,,DOP,,781,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Probation+%28DOP%29,1974,Juanita Holmes,Commissioner,https://www.nyc.gov/nyc-resources/mail/dop-email-the-commissioner.page,,,"Probation, Department of (DOP)","Probation, Department of (DOP)",Department of Probation (DOP),Department of Probation (DOP),Department of Probation,Department of Probation,Probation,Department of Probation,"Probation, Department of (DOP)",Department of Probation,TRUE,TRUE
NYC_GOID_000151,Department of Records and Information Service,"Records and Information Services, Department of",Active,Mayoral Agency,"The Department of Records and Information Services preserves and maintains the City's records and publications through the Municipal Archives, the Municipal Records Management Division, and the City Hall Library. The Department currently responds to more than 65,000 requests annually and provides the public and City agencies access to approximately 160,000 cubic feet of historically valuable City records and photos, and a unique collection of nearly 260,000 books, official government reports, studies and other publications. Through its Web site, the Department also provides electronic access to official reports issued by New York City government agencies.",https://www.nyc.gov/site/records/index.page,,DORIS,DoRIS,860,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Records+and+Information+Services+%28DORIS%29,1977,Pauline Toole,Commissioner,https://www.nyc.gov/site/records/about/email-the-commissioner.page,,,"Records and Information Services, Department of (DORIS)","Records and Information Services, Department of (DORIS)",Department of Records and Information Services (DORIS),Department of Records and Information Services (DORIS),Department of Records and Information Services,Department of Records and Information Services,Records & Information Services,Department of Records and Information Services,"Records and Information Services, Department of (DORIS)",Department of Records & Information Service,TRUE,TRUE
NYC_GOID_000152,Department of Sanitation,"Sanitation, Department of",Active,Mayoral Agency,"DSNY manages NYC's municipal and residential solid waste, both refuse and recyclables; clears snow & ice; cleans vacant lots, enforces sanitation laws and removes abandoned vehicles from city streets.",https://www.nyc.gov/site/dsny/index.page,,DSNY,,827,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Sanitation+%28DSNY%29,1881,Javier Lojan,Commissioner,https://www.nyc.gov/site/dsny/about/contact.page,,,"Sanitation, Department of (DSNY)","Sanitation, Department of (DSNY)",Department of Sanitation (DSNY),Department of Sanitation (DSNY),Department of Sanitation,Department of Sanitation,Sanitation,Department of Sanitation,"Sanitation, Department of (DSNY)",Department of Sanitation,TRUE,TRUE
NYC_GOID_000153,Department of Small Business Services,"Small Business Services, Department of",Active,Mayoral Agency,"SBS makes it easier for businesses to start, operate and grow by providing direct assistance to business owners, linking employers to a qualified workforce, and fostering neighborhood development. ",https://www.nyc.gov/site/sbs/index.page,,SBS,,801,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Small+Business+Services+%28SBS%29,1980,Dynishal Gross,Commissioner,https://www.nyc.gov/site/sbs/about/email-the-commissioner.page,,,Small Business Services (SBS),Small Business Services (SBS),Department of Small Business Services (SBS),Department of Small Business Services (SBS),Department of Small Business Services,Department of Small Business Services,Small Business Services,Department of Small Business Services,Small Business Services (SBS),Department of Small Business Services,TRUE,TRUE
NYC_GOID_000154,Department of Social Services,"Social Services, Department of",Active,Mayoral Agency,The Department of Social Services (DSS) is comprised of the administrative units of the NYC Human Resources Administration (HRA) and the Department of Homeless Services (DHS).,https://www.nyc.gov/site/dss/index.page,,DSS,,69,,2019,Molly Park,Commissioner,https://www.nyc.gov/assets/home/mail/html/mailhra.html,,,Department of Social Services (DSS),Department of Social Services (DSS),,Department of Social Services (DSS),Department of Social Services,Department of Social Services,,Department of Social Services,Department of Social Services (DSS),Department of Social Services,TRUE,TRUE
NYC_GOID_000155,Department of Homeless Services,"Homeless Services, Department of",Active,Division,"The mission of the Department of Homeless Services (DHS) is to prevent homelessness when possible and to provide short-term, emergency shelter for individuals and families who have no other housing options available.",https://www.nyc.gov/site/dhs/index.page,,DHS,,71,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Homeless+Services+%28DHS%29,1993,Joslyn Carter,Administrator,https://www.nyc.gov/assets/home/mail/html/maildhs.html,,,"Homeless Services, Department of (DHS)","Homeless Services, Department of (DHS)",Department of Homeless Services (DHS),Department of Homeless Services (DHS),,Department of Homeless Services,"Homeless Services, Department of",Department of Homeless Services,"Homeless Services, Department of (DHS)",Department of Social Services - Department of Homeless Services,TRUE,TRUE
NYC_GOID_000156,Human Resources Administration,Human Resources Administration,Active,Division,HRA works to end poverty and income inequality in New York City by connecting New Yorkers in need with a variety of essential services such as Food Stamps and Cash Assistance.,https://www.nyc.gov/site/hra/index.page,,HRA,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Human+Resources+Administration+%28HRA%29,1966,Scott French,Commissioner,https://www.nyc.gov/assets/home/mail/html/mailhra.html,,,Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),Human Resources Administration (HRA),,Human Resources Administration,Human Resources Administration / Department of Social Services,,Human Resources Administration (HRA),Department of Social Services - Human Resources Administration,TRUE,TRUE
NYC_GOID_000157,Department of Transportation,"Transportation, Department of",Active,Mayoral Agency,"DOT provides for the safe and efficient movement of people and goods in New York City. The agency maintains bridges, tunnels, streets, sidewalks and bike lanes, and operates the Staten Island Ferry.",https://www.nyc.gov/html/dot/html/home/home.shtml,,NYC DOT,DOT,841,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Transportation+%28DOT%29,1977,Ydanis Rodriguez,Commissioner,https://www.nyc.gov/html/dot/html/contact/contact-form.shtml,,,"Transportation, Department of (DOT)","Transportation, Department of (DOT)",Department of Transportation (DOT),Department of Transportation (DOT),Department of Transportation,Department of Transportation,Transportation,Department of Transportation,"Transportation, Department of (DOT)",Department of Transportation,TRUE,TRUE
NYC_GOID_000158,Department of Veterans' Services,"Veterans' Services, Department of",Active,Mayoral Agency,The Department of Veterans' Services advises the Mayor on issues and projects impacting the veterans' community.,https://www.nyc.gov/site/veterans/index.page,,DVS,,63,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Veterans%27+Services+%28DVS%29,1945,James Hendon,Commissioner,https://www.nyc.gov/site/veterans/contact/contact.page,,,"Veterans' Services, Department of (DVS)","Veterans' Services, Department of (DVS)",Department of Veterans' Services (DVS),Department of Veterans' Services (DVS),Department of Veteran Services,Department of Veterans' Services,"Veterans' Services, Department of",Department of Veterans' Services,"Veterans' Service, Department of (DVS)",Department of Veteran's Services,TRUE,TRUE
NYC_GOID_000159,Department of Youth and Community Development,"Youth and Community Development, Department of",Active,Mayoral Agency,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming. Our central task is administering available City, state, and federal funds to effective community-based organizations. ",https://www.nyc.gov/site/dycd/index.page,,DYCD,,260,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Department+of+Youth+and+Community+Development+%28DYCD%29,1996,Keith Howard,Commissioner,https://www.nyc.gov/site/dycd/about/contact/email-the-commissioner.page,,,"Youth and Community Development, Department of (DYCD)","Youth and Community Development, Department of (DYCD)",Department of Youth and Community Development (DYCD),Department of Youth and Community Development (DYCD),Department of Youth and Community Development,Department of Youth and Community Development,Youth and Community Development,Department of Youth and Community Development,"Youth and Community Development, Department of (DYCD)",Department of Youth & Community Development,TRUE,TRUE
NYC_GOID_000161,Deputy Mayor of Health and Human Services,"Health and Human Services, Deputy Mayor for",Active,Mayoral Office,,,,DMHHS,,,,2022,Suzanne Miles-Gustave,Deputy Mayor for Health and Human Services,,,,,Office of the Deputy Mayor for Health and Human Services,,Deputy Mayor for Health and Human Services (DMHHS),Deputy Mayor for Health and Human Services,,,,Mayor's Office - Deputy Mayor for Health and Human Services,Deputy Mayor of Health & Human Services,TRUE,TRUE
NYC_GOID_000162,Deputy Mayor of Housing Economic and Workforce Development,"Housing, Economic Development and Workforce, Deputy Mayor for",Active,Mayoral Office,,,,DMEWD,,,,2021,Adolfo CarriÃ³n Jr.,Deputy Mayor for Economic and Workforce Development,,,,,Office of the Deputy Mayor for Economic and Workforce Development,,Deputy Mayor for Economic and Workforce Development (DMEWD),Deputy Mayor for Economic and Workforce Development,,,,Mayor's Office - Deputy Mayor for Economic and Workforce Development,Deputy Mayor of Housing Economic & Workforce Development,TRUE,FALSE
NYC_GOID_000163,Deputy Mayor of Operations,"Operations, Deputy Mayor for",Active,Mayoral Office,,,,DMOPS,,,,1977,Jeffrey D. Roth,Deputy Mayor for Operations,,,,,Office of the Deputy Mayor for Operations,,Deputy Mayor for Operations (DMOPS),Deputy Mayor for Operations,,,,Mayor's Office - Deputy Mayor for Operations,Deputy Mayor of Operations,TRUE,TRUE
NYC_GOID_000164,Deputy Mayor of Public Safety,"Public Safety, Deputy Mayor for",Active,Mayoral Office,,,,DMPS,,,,1990,Kaz Daughtry,Deputy Mayor for Public Safety,,,,,Office of the Deputy Mayor for Public Safety,,Deputy Mayor for Public Safety (DMPS),Deputy Mayor for Public Safety,Deputy Mayor for Public Safety,,,Mayor's Office - Deputy Mayor for Public Safety,Deputy Mayor of Public Safety,TRUE,TRUE
NYC_GOID_000165,Deputy Mayor of Strategic Initiatives,"Strategic Initiatives, Deputy Mayor for",Active,Mayoral Office,,,,DMSI,,,,2014,Ana Almanzar,Deputy Mayor for Strategic Initiatives,,,,,Office of the Deputy Mayor for Strategic Initiatives,,Deputy Mayor for Strategic Initiatives (DMSI),Deputy Mayor for Strategic Initiatives,,,,Mayor's Office - Deputy Mayor for Strategic Intitiatives,Deputy Mayor of Strategic Initiatives,TRUE,TRUE
NYC_GOID_000166,Deputy Mayor for Communications,"Communications, Deputy Mayor for",Active,Mayoral Office,,,,,,,,,Fabien Levy,Deputy Mayor for Communications,,,,,,,,,,,,Mayor's Office - Deputy Mayor for Communications,Director of Communications,TRUE,TRUE
NYC_GOID_000167,Disconnected Youth Task Force,Disconnected Youth Task Force,Dissolved,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/youthemployment/initiatives/disconnected-youth-task-force.page,,,,,,,,,,,,,,,,,,,,,Disconnected Youth Task Force,FALSE,FALSE
NYC_GOID_000168,Bronx County District Attorney's Office,District Attorney - Bronx County,Active,Elected Office,,https://www.bronxda.nyc.gov/html/home/home.shtml,,,,,,,Darcel D. Clark,,https://www.bronxda.nyc.gov/html/contact/contact.shtml,,District Attorney's Office,,,,,,,,,District Attorney- Bronx County,District Attorney - Bronx County,TRUE,TRUE
NYC_GOID_000169,Brooklyn District Attorney's Office,District Attorney - Brooklyn,Active,Elected Office,,http://www.brooklynda.org/,District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County; District Attorney - Kings County,,,,,,,,http://brooklynda.org/das-action-center/,,District Attorney's Office,,,,,,,,,District Attorney- Kings County (Brooklyn),District Attorney - Kings County (Brooklyn),TRUE,TRUE
NYC_GOID_000170,Manhattan District Attorney's Office,District Attorney - Manhattan,Active,Elected Office,,https://manhattanda.org/,District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County; District Attorney - New York County,,,,,,,,https://manhattanda.org/contact-us/,,District Attorney's Office,,,,,,,,,District Attorney- New York County (Manhattan),District Attorney - New York County (Manhattan),TRUE,TRUE
NYC_GOID_000171,Queens District Attorney's Office,District Attorney - Queens County,Active,Elected Office,,https://queensda.org/,,,,,,,Melinda Katz,,https://queensda.org/contact-us/,,District Attorney's Office,,,,,,,,,District Attorney- Queens County,District Attorney - Queens County,TRUE,TRUE
NYC_GOID_000172,Office of the District Attorney Richmond County,District Attorney - Richmond County,Active,Elected Office,,https://www.statenislandda.org/,District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island; District Attorney - Staten Island,,,,,,,,https://www.statenislandda.org/contact/,,District Attorney's Office,,,,,,,,,District Attorney- Richmond County (Staten Island),District Attorney - Richmond County (Staten Island),TRUE,TRUE
NYC_GOID_000174,Domestic Violence Fatality Review Committee,Domestic Violence Fatality Review Committee,Active,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/ocdv/press-resources/fatality-review-committee.page,,,,,,,,,,,,,,,,,,,,,Domestic Violence Fatality Review Committee,TRUE,FALSE
NYC_GOID_000175,Downtown Brooklyn Partnership,Downtown Brooklyn Partnership,Active,Nonprofit Organization,,https://www.downtownbrooklyn.com/,,DBP,,,,2004,,,,,,,,,Downtown Brooklyn Partnership (DBP),,,,,,,FALSE,FALSE
NYC_GOID_000176,Drug Strategy Advisory Council,Drug Strategy Advisory Council,Dissolved,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Drug Strategy Advisory Council,FALSE,FALSE
NYC_GOID_000177,Economic Development Corporation,Economic Development Corporation,Active,Public Benefit or Development Organization,"The New York City Economic Development Corporation (NYCEDC), a nonprofit organization operating under contract with the City of New York, is the City's primary vehicle for economic development services. NYCEDC serves as a catalyst for public and private initiatives that promote the City's long-term vitality. Through affordable financing, tax exemptions and low-cost energy programs, NYCEDC helps City businesses gain the competitive edge they need to meet their short- and long-term goals.",https://edc.nyc/,,NYCEDC,,,https://data.cityofnewyork.us/browse?Dataset-Information_Agency=Economic+Development+Corporation+%28EDC%29,1991,Andrew Kimball,President and CEO,https://edc.nyc/contact-us,,,Economic Development Corporation (NYCEDC),Economic Development Corporation (NYCEDC),Economic Development Corporation (EDC),Economic Development Corporation (EDC),,Economic Development Corporation,"Economic Development Corporation, NYC",,Economic Development Corporation (NYCEDC),Economic Development Corporation,TRUE,TRUE
NYC_GOID_000179,Economic Development Corporation Life Sciences Advisory Council,Economic Development Corporation Life Sciences Advisory Council,Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Economic Development Corporation Life Sciences Advisory Council,FALSE,FALSE
NYC_GOID_000180,Economic Development Corporation Real Estate Life Sciences Advisory Board,Economic Development Corporation Real Estate Life Sciences Advisory Board,Active,Advisory or Regulatory Organization,,,,,,,,,,,,,,,,,,,,,,,Economic Development Corporation Real Estate Life Sciences Advisory Board,FALSE,FALSE
NYC_GOID_000181,Educational Construction Fund,Educational Construction Fund,Active,Public Benefit or Development Organization,,https://infohub.nyced.org/reports/financial/educational-construction-fund,,,,,,1966,,,,,,,,,,,Educational Construction Fund,Educational Construction Fund,,,Educational Construction Fund,TRUE,FALSE
NYC_GOID_000182,Environmental Control Board,Environmental Control Board,Active,Advisory or Regulatory Organization,,https://www.nyc.gov/site/oath/hearings/about-ecb.page,,ECB,,,,2008,,,,,,,,,Environmental Control Board (ECB),,,,,,Environmental Control Board,TRUE,FALSE
NYC_GOID_000183,Environmental Justice Advisory Board,Environmental Justice Advisory Board,Active,Advisory or Regulatory Organization,,https://www1.nyc.gov/site/sustainability/our-programs/environmental-justice.page,,,,,,,,,,,,,,,,,,,,,Environmental Justice Advisory Board,TRUE,FALSE
