entity_name,description,url,scraped_date,source_url
Tax Appeals Tribunal - Office of Administrative Tax Appeals,The Tax Appeals Tribunal has the jurisdiction to hear and determine cases initiated by the filing of petitions protesting notices issued by the Commissioner of Finance involving NYC-administered taxes and charges other than the Real Property.,https://www1.nyc.gov/site/taxappeals/about/about.page,2025-11-15T18:09:50.714869,https://www.nyc.gov/content/appointments/pages/boards-commissions
Tax Commission - Office of Administrative Tax Appeals,"New York City's Tax Commission is the administrative review body for hearing protests of property tax assessments set by the Department of Finance, and, when appropriate, for correcting such assessments.",https://www1.nyc.gov/site/taxcommission/index.page,2025-11-15T18:09:50.714933,https://www.nyc.gov/content/appointments/pages/boards-commissions
Taxi and Limousine Commission,The Taxi and Limousine Commission licenses and regulates the taxi and limousine industries in New York City.,https://www1.nyc.gov/site/tlc/index.page,2025-11-15T18:09:50.714995,https://www.nyc.gov/content/appointments/pages/boards-commissions
Taxi and Limousine Commission Advisory Board,The Taxi and Limousine Commission Advisory Board enables the commission to be kept aware of current views of all segments of the industries regulated by the commission and of the public and to be available to the commission to provide the expertise of its members for the better administration of the commission and service to the public.,,2025-11-15T18:09:50.715103,https://www.nyc.gov/content/appointments/pages/boards-commissions
Teachers' Retirement Board - Teachers' Retirement System,The Teachers' Retirement Board oversees and acts as fiduciary for the New York City teachers' pension fund.,https://www.trsnyc.org/memberportal/About-Us/ourRetirementBoard,2025-11-15T18:09:50.715166,https://www.nyc.gov/content/appointments/pages/boards-commissions
Technology Development Corporation,The NYC Technology Development Corporation is a non-profit organization serving New York City by providing standardized information technology project support to selected agency projects through the consistent application of best practices.,,2025-11-15T18:09:50.715444,https://www.nyc.gov/content/appointments/pages/boards-commissions
"Theater Subdistrict Council, LDC","The Theatre Subdistrict Council administers the Theater Subdistrict Fund and allocates grants with the goal of promoting the production of new theater work, developing new audiences, and showcasing Broadway's singular role in the history of American theater.",,2025-11-15T18:09:50.715762,https://www.nyc.gov/content/appointments/pages/boards-commissions
Transit Riders Council - NYC Transit Authority Advisory Council,"The Transit Riders Council is one of three advisory councils that make up the Permanent Citizens Advisory Committee (PCAC) of the Metropolitan Transportation Authority (MTA). The mission of the PCAC is to give users of the MTA subway, bus, and commuter rail service a voice in the formulation and implementation of the MTA policy, and to hold the MTA Board and the MTA management accountable to the riding public.",https://pcac.org/about/,2025-11-15T18:09:50.716085,https://www.nyc.gov/content/appointments/pages/boards-commissions
Trust for Cultural Resources,The Trust for Cultural Resources was established to provide assistance to eligible museums and other participating cultural institutions to expand their facilities and increase their revenues through development of their underutilized real property.,,2025-11-15T18:09:50.716257,https://www.nyc.gov/content/appointments/pages/boards-commissions
United Nations Development Corporations,"The United Nations Development Corporation is a New York State public benefit corporation that assists the United Nations community with its office space and other real estate needs. Among its most important tasks are building, maintaining, and leasing out multiple office buildings to house UN agencies in NYC.",https://undc.org/,2025-11-15T18:09:50.716494,https://www.nyc.gov/content/appointments/pages/boards-commissions
Veterans' Advisory Board - Mayor's Office of Veterans' Affairs,"The Veterans' Advisory Board advises the Director of Veterans' Affairs on all matters concerning veterans, determines its own rules of procedure, and submits an annual report of its activities to the Mayor and the City Council.",https://www1.nyc.gov/site/veterans/community/veterans-advisory-board.page,2025-11-15T18:09:50.716780,https://www.nyc.gov/content/appointments/pages/boards-commissions
Voter Assistance Advisory Committee,"The Voter Assistance Advisory Committee shall assist the Campaign Finance Board with its duties and responsibilities, including but not limited to overseeing the voter assistance program.",http://www.nyccfb.info/about/vaac,2025-11-15T18:09:50.716970,https://www.nyc.gov/content/appointments/pages/boards-commissions
Water Board,"The New York City Water Board's mission is to establish rates for and distribute the collected revenues of the Water and Sewer System of the City of New York, proactively considering the optimal level to achieve efficient financing of the System's infrastructure and sustainable provision of high-quality service at a fair price to our customers. The Water Board's fulfillment of this mission enables the System to keep investing in critical infrastructure, ensuring that DEP is able to supply 9 million New Yorkers (half of the state's population) with world-class drinking water.",https://www1.nyc.gov/site/nycwaterboard/index.page,2025-11-15T18:09:50.717170,https://www.nyc.gov/content/appointments/pages/boards-commissions
Waterfront Management Advisory Board,"The Waterfront Management Advisory Board shall consult with and advise the Deputy Mayor for Economic Development, the Commissioner of Small Business Services, and the City Planning Commission on any matter relating to the industrial, commercial, residential, recreational or other use, or development of wharves, waterfront property and waterfront infrastructure in the city, and on other matters as may be requested by the Board Chair.",,2025-11-15T18:09:50.717335,https://www.nyc.gov/content/appointments/pages/boards-commissions
Workforce Development Board,"The Workforce Development Board's responsibilities include developing the City's strategy under the Workforce Innovation and Opportunity Act (WIOA) to improve the skills of New York's workforce to better meet employer needs, conducting oversight of the City's employment and training system, and working with employers and public sector partners to further the goals of the Act.",,2025-11-15T18:09:50.717496,https://www.nyc.gov/content/appointments/pages/boards-commissions
"World Trade Center Captive Insurance Company, Inc.","The World Trade Center Captive Insurance Company is a public benefit corporation formed to provide insurance for risks incurred by the City of New York and its affiliated companies related to the attacks at the World Trade Center on September 11, 2001.",,2025-11-15T18:09:50.717656,https://www.nyc.gov/content/appointments/pages/boards-commissions
World Trade Center Memorial Foundation - Board of Directors National September 11 Memorial and Museum at the WTC,"The National September 11 Memorial & Museum will build, program, own and operate the memorial and museum at Ground Zero that have been planned by the Lower Manhattan Development Corporation.",https://www.911memorial.org/about/board-trustees,2025-11-15T18:09:50.717948,https://www.nyc.gov/content/appointments/pages/boards-commissions
Young Men's Initiative Advisory Board,"The purpose of the Young Men's Initiative Advisory Board is to advise, advocate and support YMI initiatives and policies that will strengthen opportunity, access, and angagement for young men of color living in New York City.",http://www.nyc.gov/html/ymi/html/about/advisory-board.shtml,2025-11-15T18:09:50.718032,https://www.nyc.gov/content/appointments/pages/boards-commissions
Youth Board (DYCD),The Youth Board advises the Department of Youth and Community Development on the development of youth programs.,https://www1.nyc.gov/site/dycd/involved/boards-and-councils/nyc-youth-board.page,2025-11-15T18:09:50.718097,https://www.nyc.gov/content/appointments/pages/boards-commissions
