RecordID,Column,GoldenValue,SourceValue
NYC_GOID_000017,Description,,"Provides independent oversight of the City’s annual auditing and financial reporting operations, performing a role comparable to that of a publicly-held corporation’s independent audit committee."
NYC_GOID_000018,Description,,"The Banking Commission designates the banks to hold City funds; makes an annual recommendation to the City Council on the discount rate for early payments of real estate taxes, and the interest rate to be charged for late payments of real estate taxes or water and sewer charges; and works with the State on designating Banking Development Districts whereby the State and the City deposit funds in certain bank branches in neighborhoods that are under-banked."
NYC_GOID_000019,Description,,"The task force shall study the black car and livery industries to identify challenges to their viability and shall make recommendations for legislation and policy to address those challenges. In addition to any other topics that the task force deems appropriate, the task force shall consider the potential impacts of advertising and the viability of advertising as an additional revenue source for drivers in the black car, livery and other for-hire vehicle industries.

No later than 250 days after the effective date of this local law, the task force shall submit a report to the mayor and the speaker of the council setting forth its recommendations for legislation and policy relating to addressing challenges to the viability of the black car and livery industries. The task force shall terminate 180 days after the date on which it submits its report."
NYC_GOID_000021,Description,"The NYC Board of Correction establishes and ensures compliance with minimum standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities. The Board monitors conditions in the City's jails, investigates serious incidents, evaluates the performance of the Department of Correction, reviews inmate and employee grievances, and makes recommendations in critical areas of correctional planning.","The Board of Correction establishes and ensures compliance with Minimum Standards regulating conditions of confinement and correctional health and mental health care in all City correctional facilities.
The Board advances improvement and change toward smaller, safer, fairer, and more humane jails."
NYC_GOID_000023,Description,"The Board of Elections is an administrative body of 10 bipartisan Commissioners, two from each borough, appointed by the City Council for a term of four years. The Board oversees voter, poll site, and campaign-related issues",
NYC_GOID_000024,Description,,"The Board of Health promulgates the Health Code and provides services to promote, maintain, and enhance the health of New York City residents."
NYC_GOID_000025,Description,The Board of Standards and Appeals hears and decides appeals from property owners whose various building and renovation applications have been denied as contrary to law by the enforcement agencies.,The Board of Standards and Appeals (BSA) serves as an appeals Board for determinations of the Fire Department and Buildings Department on Laws concerning building and land use.
NYC_GOID_000026,Description,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,
NYC_GOID_000027,Description,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,
NYC_GOID_000028,Description,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,
NYC_GOID_000029,Description,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,
NYC_GOID_000030,Description,The Borough Presidents are the executive officials of each borough. The City Charter gives them authority to: work with the Mayor in preparing the annual executive budget submitted to the City Council and to propose borough budget priorities directly to the council; review and comment on major land use decisions and propose sites for city facilities within their respective boroughs; monitor and modify the delivery of city services within their boroughs; and engage in strategic planning for their boroughs.,
NYC_GOID_000034,Description,,"A not‐ for-proﬁt entity responsible for the planning, construction, maintenance and operation of Brooklyn Bridge Park, an 85‐acre sustainable waterfront park stretching 1.3 miles along Brooklyn’s East River shoreline. Its mission is to create and maintain a world class park that is a recreational, environmental and cultural destination enjoyed by the residents of, and visitors to, New York City. The Corporation operates under a mandate, embodied by its General Project Plan, to be ﬁnancially self-sustaining, which includes the activation of certain development sites within the project’s footprint."
NYC_GOID_000035,Description,,"The Brooklyn Bridge Park Development Corporation is charged with the planning, design, and building of an 85-acre, 1.3-mile world-class, self-sustaining park.  It is tasked with reconnecting the citizens of Brooklyn to their waterfront, replacing abandoned piers, parking lots and storage sheds with opportunities to play sports, stroll, or lounge at the water’s edge.  PLEASE NOTE: On 1/24/2022, Sarah Krauss from BBPC confirmed that this board no longer exists and became BBPC back in 2010. This has been shared with MOA."
NYC_GOID_000036,Description,,"The Brooklyn Marine Task Force will guide the redevelopment of the 122-acre Brooklyn Marine Terminal by
engaging community members and stakeholders to identify opportunities and challenges. The task force will
approve an illustrative vision plan in early 2025, outlining reinvestment in a modernized maritime port and a mixed-
use community. Following approval, the City and State will advance the project through a General Project Plan
(GPP), which includes a neighborhood condition study and environmental review, beginning in Spring 2025."
NYC_GOID_000037,Description,"The Brooklyn Navy Yard (the Yard) is a mission-driven industrial park that is a nationally acclaimed model of the viability and positive impact of modern, urban industrial development. The Yard is home to 450+ businesses employing more than 11,000 people and generating over $2.5 billion per year in economic impact for the city. Building on the Yard's history as the economic heart of Brooklyn, the 300-acre waterfront asset offers a critical pathway to the middle class for many New Yorkers.","The Brooklyn Navy Yard Development Corporation (BNYDC) is the not-for-profit corporation that manages the Brooklyn Navy Yard on behalf of its owner, the City of New York. BNYDC's mission is to promote local economic development and job creation, develop underutilized areas and oversee modernization of the Yard’s infrastructure and assets while maintaining its historical integrity. The 300-acre industrial park on the Brooklyn waterfront is home to over 330 industrial tenants employing more than 6,400 people."
NYC_GOID_000040,Description,"The Business Integrity Commission is responsible for the regulation of the trade waste industry, the shipboard gambling industry, the Fulton Fish Market distribution area and other seafood distribution areas, and the public wholesale markets. The Commission consists of a full-time chairperson appointed by the Mayor and of the Commissioners of the Departments of Small Business Services, Consumer Affairs, Investigation, Sanitation, and the Police Department.","The Commission combines the efforts of the Trade Waste Commission, Gambling Control Commission, and other City agency regulatory efforts to fight organized crime. It was created by Charter revision approved in 2001, and was formerly known as the Organized Crime Control Commission."
NYC_GOID_000042,Description,"The Campaign Finance Board administers the City Campaign Finance Program, publishes the City Voter Guide, and implements the debate requirement for candidates running for Mayor, Comptroller, and Public Advocate.",The Campaign Finance Board provides public funding to candidates for City elective offices who choose to participate in the City’s public financing program and monitors candidates’ campaign contributions and expenditures to assure that they conform to the requirements of the law.
NYC_GOID_000044,Description,,"Members of the newly formed council will focus on all issues affecting Caribbean New Yorkers, including public safety, quality of life, culture, small business and education, and will ensure the Caribbean communities across New York City are connected with all of the city’s resources and services available."
NYC_GOID_000047,Description,"The Center for Innovation through Data Intelligence (CIDI) is a data intelligence team in the Office of the Deputy Mayor for Health and Human Services (HHS), Office of the Mayor, who establishes partnerships that can leverage the analytical resources of the City of New York through an innovative inter-agency research agenda. This position affords CIDI greater access to data and ensures persons' confidentiality in its research activities.",
NYC_GOID_000048,Description,,"The Central Park Conservancy is a private not-for-profit organization founded in 1980 that manages Central Park under a contract with the City of New York, Department of Parks and Recreation."
NYC_GOID_000050,Description,"The Charter Revision Commission is charged with reviewing the entire Charter of the City of New York, holding hearings in all five boroughs to solicit public input, and issuing a report outlining findings and recommendations to amend or revise the Charter.",
NYC_GOID_000056,Description,,"The Child Care Advisory Board has the power and duty to conduct studies on and issue reports related to child care in the city, including, but not limited to, providing an annual assessment of the needs of the city’s child care programs and the city’s progress towards providing universal child care. The Child Care Advisory Board also has the power and duty to make recommendations to the mayor and the speaker of the council on legislation, regulation, policies, procedures and initiatives to help to make child care more affordable based on the board’s assessments."
NYC_GOID_000057,Description,,"The Child Care Task Force is established to examine issues related to child care in the City of New York and must submit a report to the mayor, the speaker of the council, and the public advocate setting forth its findings and recommendations, which should include any challenges associated with implementing affordable child care programs; the projected costs associated with implementing affordable child care programs; recommendations for policies and programs to make the costs of child care programs in the city more affordable for caregivers and families; recommendations for increasing support and funding to child care programs and workers at such programs, such as providing training or other free, low-cost or low-barrier resources; recommendations for increasing the number of child care programs in the city, including ways to increase the number of applications for licensed child care programs; and a summary of information the task force considered in formulating its recommendations."
NYC_GOID_000058,Description,,"CFRAT serves to better understand unnatural deaths among children and identify strategies for injury prevention. It reviews aggregate data (not individual injury cases), identifies trends and risk factors for injury-related deaths, examines facts/circumstances of child fatalities, and submits an annual report to the Mayor, Speaker, and Public Advocate."
NYC_GOID_000081,Description,,"The Tobacco Settlement Asset Securitization Corporation (TSASC) is a local development corporation established by
New York City to issue bonds backed by the city's share of payments from the 1998 Master Settlement Agreement
with tobacco companies. This enables the city to finance capital projects by leveraging future tobacco settlement
revenues."
NYC_GOID_000095,Description,,"Advises DCLA regarding the development of a cultural plan, the gathering community input for such a plan, and how to implement the plan."
NYC_GOID_000096,Description,"The New York City Commission on Human Rights is charged with the enforcement of the Human Rights Law, Title 8 of the Administrative Code of the City of New York, and with educating the public and encouraging positive community relations.","The Commission on Human Rights, the governing board of the city office, works to eliminate discrimination on the basis of race, color, creed, gender, marital status, age, sexual orientation and physical disability by enforcing laws against discrimination.

The Commissioners’ work is generally broader policy and program advisory work. Commissioners:
•	Provide advice on how to address discrimination, often drawing upon their own work with community-based institutions, government or private sector
•	Help the Commission build relationships with individuals, institutions, communities, etc.
•	Help to educate the public about the HRL and commission initiatives"
NYC_GOID_000097,Description,"The Council monitors the operation and performance of city agencies, makes land use decisions and has sole responsibility for approving the city's budget. It also legislates on a wide range of other subjects. The Council is an equal partner with the Mayor in the governing of New York City.",
NYC_GOID_000098,Description,,"The City Planning Commission is responsible for the conduct of planning relating to the orderly growth and development of the City, including adequate and appropriate resources for the housing, business, industry, transportation, distribution, recreation, culture, comfort, convenience, health and welfare of its population. The Commission meets regularly to hold hearings and vote on applications, as described above, concerning the use, development and improvement of real property subject to City regulation. Its consideration of these applications includes an assessment of their environmental impacts where required by law."
NYC_GOID_000099,Description,"The City University of New York (CUNY) is the largest urban university in the US, serving more than 400,000 students.",The vehicle through which facilities are provided for senior and community colleges and graduate institutions of The City University of New York.
NYC_GOID_000100,Description,,The vehicle through which facilities are provided for senior and community colleges and graduate institutions of The City University of New York.
NYC_GOID_000101,Description,,"Task force on affordability, admissions, and graduation rates at the City University of New York. There is hereby established a temporary task force to examine ways to increase affordability and admission to the City University of New York, including the feasibility of eliminating tuition at the University and, to the extent appropriate, develop recommendations for addressing such matters."
NYC_GOID_000102,Description,"The Civic Engagement Commission strives to enhance civic participation, promote civic trust, and strengthen democracy in New York City.",A new charter entity dedicated to enhancing civic participation and strengthening democracy in New York City.
NYC_GOID_000103,Description,The Civil Service Commission functions as a quasi-judicial body for individual appeals from disciplinary actions and appeals from decisions of the Commissioner of the Department of Citywide Administrative Services and acts as guardian of the City's merit system.,"The Civil Service Screening Committee submits to the Mayor a list of nominees, which shall include persons with knowledge or experience of the civil service system, or personnel management, or compensation practices, from which the Mayor shall make appointments to the City Civil Service Commission."
NYC_GOID_000106,Description,,The Climate Change Adaptation Task Force was launched by the Mayor in August 2008. The Task Force is responsible for reviewing the climate change projections as recommended by the New York City Panel on Climate Change and advising the City on adaptation.
NYC_GOID_000107,Description,,"There shall be an advisory board convened, to provide advice and recommendations to DOB and Mayor’s Office of Long Term Planning & Sustainability relating to effectively reducing greenhouse gas emissions from buildings."
NYC_GOID_000108,Description,,Established to monitor industry conditions in order to make recommendations regarding improving worker safety training and other ways to protect the public from potential dangers posed by commercial waste hauling activities.
NYC_GOID_000109,Description,"The Commission to Combat Police Corruption was created in 1995 as a permanent board to monitor and evaluate the anti-corruption programs, activities, commitment, and efforts of the New York City Police Department, and is completely independent of the NYPD.","An independent monitor to review and evaluate Police Department anti-corruption measures, to ensure that the Police Department remains vigilant in combating corruption and to assure the public that the Police Department is implementing and maintaining an effective anti-corruption program."
NYC_GOID_000110,Description,,"The commission, in consultation with an expert on justice reinvestment appointed by the council, shall provide advice and recommendations to the city council and the mayor with respect to the ways in which the city can invest in neighborhoods and communities that have been disparately affected by mass incarceration to address the drivers of mass incarceration.

Within six months of the formation of the commission, no later than the 30th day of each December thereafter, such commission shall submit an annual report to the mayor and the speaker of the city council and publish such report prominently on the website of the department of social services."
NYC_GOID_000111,Description,"Mayor de Blasio established New York City's Commission on Gender Equity (CGE) through Executive Order Number 10. This Commission is an advisory body that supports City agencies in dismantling institutional barriers for women and girls regardless of race, ethnicity, class, gender identity and sexual orientation and helps achieve the Mayor's commitment to reduce gender-based inequity.","The Commission is an advisory body that supports City agencies in dismantling institutional barriers for women and girls in order to achieve the Mayor's commitment to reduce gender-based inequity.  The CGE recommends policies that promote the economic, social, political and physical well-being of women and girls regardless of their race, ethnicity, class, gender identity or sexual orientation."
NYC_GOID_000112,Description,,"The New York City Commission on Public Information and Communication is a City agency, established by the 1989 amendments to Section 1061 of the New York City Charter. The Commission is chaired by the Public Advocate, and includes public members as well as representatives of the Mayor, the City Council and a number of city agencies. In addition to publication of the Public Data Directory, the Commission’s responsibilities include education and outreach to assist the public in obtaining access to City information, and developing strategies for the use of new communications technologies to improve access to and distribution of city data."
NYC_GOID_000113,Description,"The Commission on Racial Equity is a new independent 15-member commission responsible for holding government accountable to advancing racial equity in government operations and uplifting community voices in government decision making. CORE provides accountability for New Yorkers, regularly evaluating the City's progress on its racial requirements and goals. CORE will be composed of diverse New Yorkers with equity expertise and/or relevant lived experience, serving as a conduit to bring historically excluded communities and voices into government decision-making. CORE's independent commission composed of 15 commissioners, including one Chair Executive Director, jointly appointed by the Mayor and New York City Council Speaker. Other CORE commissioners will be appointed by the Mayor, City Council Speaker, City Comptroller, and Public Advocate. City officials appointing commissioners to CORE are required to consider individuals that represent or have advocated for historically excluded voices, including people with lived experience of marginalization and individuals who have never served on a government board or commission before.",The Commission will enable community members with equity expertise or lived experience relevant to the goal of equity to propose priorities for racial equity in city decision-making and policy and assess performance towards those priorities.
NYC_GOID_000115,Description,,"The Committee shall review community-based health indicators in New York City, and evaluate community-level health needs that can be addressed by city healthcare services."
NYC_GOID_000116,Description,,"The citywide body that oversees the community action initiatives in all boroughs and serves as a resource for policymaking efforts in the community development area.  Also oversees administration of all policies adopted by DYCD with respect to the Community Services Block Grant Program, and CAB members can provide input to facilitate ongoing improvements."
NYC_GOID_000117,Description,The Community Affairs Unit works with neighborhood groups and City Agencies to improve the quality of life in NYC by delivering services more efficiently.,
NYC_GOID_000118,Description,"Community boards are local representative bodies. There are 59 community boards throughout the City, and each one consists of up to 50 unsalaried members, half of whom are nominated by their district's City Council members. Board members are selected and appointed by the Borough Presidents from among active, involved people of each community and must reside, work, or have some other significant interest in the community.",
NYC_GOID_000119,Description,,"The Community Services Board (formerly known as the Mental Health Advisory Board), advises the Commissioner of Health and Mental Hygiene on programs, services and facilities. The CSB has 3 subcommittees: Mental Health (MH), Developmental Disabilities (DD), and Substance Use (SU)"
NYC_GOID_000120,Description,,"The Community Services Board (formerly known as the Mental Health Advisory Board), advises the Commissioner of Health and Mental Hygiene on programs, services and facilities. The CSB has 3 subcommittees: Mental Health (MH), Developmental Disabilities (DD), and Substance Use (SU)"
NYC_GOID_000121,Description,,"The Community Services Board (formerly known as the Mental Health Advisory Board), advises the Commissioner of Health and Mental Hygiene on programs, services and facilities. The CSB has 3 subcommittees: Mental Health (MH), Developmental Disabilities (DD), and Substance Use (SU)"
NYC_GOID_000122,Description,,"The Community Services Board (formerly known as the Mental Health Advisory Board), advises the Commissioner of Health and Mental Hygiene on programs, services and facilities. The CSB has 3 subcommittees: Mental Health (MH), Developmental Disabilities (DD), and Substance Use (SU)"
NYC_GOID_000123,Description,"The Comptroller is responsible for conducting performance and financial audits of all City agencies; serving as a fiduciary to the City's five public pension funds totaling nearly $140 billion in assets; providing comprehensive oversight of the City's budget and fiscal condition; reviewing City contracts for integrity, accountability and fiscal compliance; managing the fair, efficient and effective resolution of claims; ensuring transparency and accountability in the prevailing wage rate-setting process and vigorously enforcing prevailing wage and living wage laws; and promoting innovative policies that enhance City government's efficiency, integrity and performance for all New Yorkers.",
NYC_GOID_000124,Description,The Conflicts of Interest Board administers the City's conflicts of interest and financial disclosure laws.,"The Conflicts of Interest Board is the independent New York City agency tasked with administering, enforcing and interpreting Chapter 68 of the New York City Charter, the City’s Conflicts of Interest Law, and Section 12-110 of the Administrative Code, the City’s Annual Disclosure Law."
NYC_GOID_000125,Description,,Oversaw the renovation and expansion of the Jacob K. Javits Convention Center.
NYC_GOID_000126,Description,,NYCCOC was established in 1979 to maintain and operate the Jacob K. Javits Convention Center. The board was expanded in 2004 to include four members recommended by the Mayor for appointment by the Governor.
NYC_GOID_000127,Description,,"The CAO Board of Directors is comprised of members of the airlines and airport support service companies with operations at the three metropolitan airports, the Port Authority of New York and New Jersey and government entities as appropriate.
CAO’s mission is to identify and address the critical employment needs of the communities surrounding the New York/New Jersey metropolitan airports while responding to the hiring needs of airport tenants and the aviation industry.  Since its inception, CAO has represented an effective partnership of the private and public sectors fostering the coalescence of the aviation industry and the environs peripheral to the airports."
NYC_GOID_000128,Description,"The Counsel to the Mayor and City Hall advises the Mayor on legal matters involving City Hall and the executive staff, as well as provide counsel to the Mayor on legal aspects of policy and administrative matters.",
NYC_GOID_000130,Description,,"The Cultural Institutions Retirement System (“CIRS”) was founded in 1962 by five (5) cultural institutions – The Brooklyn Institute of Arts and Sciences, The New York Botanical Garden, The Museum of The City of New York, The Staten Island Institute of Arts and Sciences and The Staten Island Zoological Society – to provide common pension and group life insurance benefits for eligible employees. Private tax-exempt child care centers joined CIRS beginning in 1964 through the efforts of the Day Care Council of New York, Inc. CIRS exists today as the result of a unique partnership between the City of New York, the cultural institutions, the Day Care Council of New York and three Unions.

CIRS provides retirement benefits to over 21,000 members including more than 8,000 active child care and cultural institution workers."
NYC_GOID_000132,Description,,Makes recommendations to DOHMH Commissioner regarding regulations necessary to carry out the provisions of subchapter 6 of the Dangerous Dog Regulation and Protection Law promoting the health and safety of the public and dangerous dogs.
NYC_GOID_000133,Description,,"Serves as trustee of the Deferred Compensation Plan, and provides for the investment of funds pursuant to the Plan and for the administration of the Plan for the benefit of its participants."
NYC_GOID_000134,Description,"DemocracyNYC is a nonpartisan initiative of the City of New York focused on increasing voter participation and civic engagement in NYC. Part of that mission is to encourage every eligible New Yorker to make their voice heard at the ballot box. DemocracyNYC also works to address and eliminate historic barriers to voting through public education, outreach, and policy reform efforts. Currently we are focusing on encouraging voters to participate in special and local elections by educating New Yorkers on Ranked Choice Voting and pushing for long term reform through legislation.",
NYC_GOID_000135,Description,"NYC Aging funds community-based organizations throughout the five boroughs to provided essential services for seniors, including hot meals and activities at senior centers, home-delivered meals, case management, home care, transportation, legal services and caregiver services.",
NYC_GOID_000136,Description,"The Department of Buildings (DOB) ensures the safe and lawful use of over 900,000 buildings and properties by enforcing the Building Code, Zoning Resolution, and other applicable laws. Each year it reviews over 60,000 construction plans, issues over 110,000 new and renewed permits, performs over 300,000 inspections, and issues 12 types of licenses, registrations, and certificates. It facilitates construction by continually streamlining the permit application process, and delivers services with integrity and professionalism.",
NYC_GOID_000137,Description,"The Department of City Planning (DCP) oversees land use planning for New York City, utilizing zoning regulations to promote strategic growth and sustainable communities throughout the five boroughs.",
NYC_GOID_000139,Description,The NYC Department of Consumer and Worker Protection (DCWP)'formerly the Department of Consumer Affairs (DCA)'protects and enhances the daily economic lives of New Yorkers to create thriving communities.,
NYC_GOID_000140,Description,"The Department of Correction operates ten jails on Rikers Island and additional facilities and court pens throughout the city.  It houses an average daily population of approximately 12,500 inmates.",
NYC_GOID_000141,Description,"The Department of Cultural Affairs (DCLA) ensures that cultural activities are an integral part of New York City's civic and economic life by providing support, advocacy and technical assistance for the City's cultural community. DCLA's constituency consists of the 34 City-owned cultural institutions comprising the Cultural Institutions Group (CIG) and more than 1,500 other not-for-profit organizations serving constituencies in all neighborhoods of the City. DCLA also provides donated materials for arts programs offered by the public schools and cultural and social service groups, and commissions works of public art at Cityfunded construction projects throughout the City.",
NYC_GOID_000142,Description,"The Department of Design and Construction (DDC) currently manages a design and construction portfolio of over $4.6 billion of the City's capital construction projects. Projects range from streets, highways, sewers and water mains to public safety, health and human service facilities, as well as cultural institutions and libraries. Through a combination of in-house staff and private consultants and contractors, the Department delivers quality, cost-effective projects in a safe and efficient manner.",
NYC_GOID_000143,Description,"The New York City Department of Education is the largest system of public schools in the United States, serving about 1.1 million students in over 1,700 schools.",
NYC_GOID_000144,Description,"The NYC DEP protects public health and the environment by supplying clean drinking water, collecting and treating wastewater, and reducing air, noise, and hazardous substances pollution.",
NYC_GOID_000145,Description,"We collect revenue, value property, record property documents, administer tax benefits, adjudicate parking tickets, advise the Mayor on pension issues, and are the chief civil law enforcement officer.",
NYC_GOID_000146,Description,The Department of Health and Mental Hygiene (DOHMH) protects and promotes the health and mental well being of all New Yorkers.,
NYC_GOID_000148,Description,"DOI is NYC's watchdog, exposing and stopping corruption, and referring for prosecution City employees, contractors, and others who engage in fraudulent activities against the City and its taxpayers.",
NYC_GOID_000149,Description,"We oversee parks, athletic fields, playgrounds, public pools, golf courses, and beaches. We look after 650,000 street trees, and are providers of recreational and athletic facilities and programs.",
NYC_GOID_000150,Description,"DOP helps build stronger and safer communities by expanding opportunities for probation clients to seek meaningful education, employment, health services, family engagement and civic participation.",
NYC_GOID_000151,Description,"The Department of Records and Information Services preserves and maintains the City's records and publications through the Municipal Archives, the Municipal Records Management Division, and the City Hall Library. The Department currently responds to more than 65,000 requests annually and provides the public and City agencies access to approximately 160,000 cubic feet of historically valuable City records and photos, and a unique collection of nearly 260,000 books, official government reports, studies and other publications. Through its Web site, the Department also provides electronic access to official reports issued by New York City government agencies.",
NYC_GOID_000152,Description,"DSNY manages NYC's municipal and residential solid waste, both refuse and recyclables; clears snow & ice; cleans vacant lots, enforces sanitation laws and removes abandoned vehicles from city streets.",
NYC_GOID_000153,Description,"SBS makes it easier for businesses to start, operate and grow by providing direct assistance to business owners, linking employers to a qualified workforce, and fostering neighborhood development.",
NYC_GOID_000154,Description,The Department of Social Services (DSS) is comprised of the administrative units of the NYC Human Resources Administration (HRA) and the Department of Homeless Services (DHS).,
NYC_GOID_000155,Description,"The mission of the Department of Homeless Services (DHS) is to prevent homelessness when possible and to provide short-term, emergency shelter for individuals and families who have no other housing options available.",
NYC_GOID_000156,Description,HRA works to end poverty and income inequality in New York City by connecting New Yorkers in need with a variety of essential services such as Food Stamps and Cash Assistance.,
NYC_GOID_000157,Description,"DOT provides for the safe and efficient movement of people and goods in New York City. The agency maintains bridges, tunnels, streets, sidewalks and bike lanes, and operates the Staten Island Ferry.",
NYC_GOID_000158,Description,The Department of Veterans' Services advises the Mayor on issues and projects impacting the veterans' community.,
NYC_GOID_000159,Description,"The Department of Youth and Community Development (DYCD) was created in 1996 to provide the City of New York with high-quality youth and family programming. Our central task is administering available City, state, and federal funds to effective community-based organizations.",
NYC_GOID_000167,Description,,"•There shall be an interagency task force on disconnected youth whose purpose is to examine the obstacles to education and employment for disconnected youth and to make recommendations regarding measures to improve outcomes for disconnected youth.
•The taskforce will provide the Mayor and the Speaker with a report that includes, but is not limited to, an analysis of what obstacles prevent disconnected youth from enrolling in school or being employed, the education and skills employers require, and the policies and programs that affect disconnected youth.
•The task force will also provide recommendations on initiatives to better serve disconnected youth with regard to their employment preparation and opportunities, skills training and mentoring.
•The task force shall also include in its report evaluations and recommendations with regard to existing programs that could be improved, changed or eliminated to better service disconnected youth; evaluations, policy proposals and recommendations for changes to federal, state, or local laws; and recommendations on how the City could collect data reflecting the experiences and outcomes of disconnected youth regarding the following: living arrangements, level of education attainment, employment status, skills or employment training received, certifications, use of New York city workforce development centers, involvement in the criminal justice system, and involvement with mental health systems."
NYC_GOID_000174,Description,,"The Domestic Violence Fatality Review Committee will examine information on domestic violence fatalities that occur in New York City, and will formulate recommendations to improve services and reduce domestic violence deaths."
NYC_GOID_000176,Description,,Prepare short-term and long-term plans and recommendations to coordinate and effectively utilize private and public resources to address problems associated with illicit and non-medical drug use and to address the effects associated with past and current drug policies in this city.
NYC_GOID_000177,Description,"The New York City Economic Development Corporation (NYCEDC), a nonprofit organization operating under contract with the City of New York, is the City's primary vehicle for economic development services. NYCEDC serves as a catalyst for public and private initiatives that promote the City's long-term vitality. Through affordable financing, tax exemptions and low-cost energy programs, NYCEDC helps City businesses gain the competitive edge they need to meet their short- and long-term goals.",
NYC_GOID_000181,Description,,"The mission of the New York City Educational Construction Fund (""ECF"" or the ""Fund"") is to build safe, secure learning environments. The Fund encourages comprehensive neighborhood development by constructing mixed-use real estate projects which feature new school facilities. The Fund increases the capacity of the New York City Department of Education to construct new school facilities, thereby increasing the number of seats for the entire school system.  The Fund was created by the New York State Legislature in 1967 and since that time has constructed projects that added over 18,000 school seats, 4,500 units of housing and 1.2 million square feet of office space in New York City.  ECF, as a financing and development vehicle of the New York City Department of Education, provides funds for combined occupancy structures including school facilities in New York City. The Fund builds combined-occupancy structures on City-owned land conveyed to the Fund by the City of New York. The school facility portion of the mixed-use project is financed via the issue of tax exempt bonds with a term of up to forty years. ECF uses ground rents, lease payments and/or tax equivalency payments from the non-school portion of projects to finance construction of its school facilities. Future revenues from the non-school portion(s) of the development are used to pay the debt service of the school facility. ECF-issued tax exempt bonds are backed by the credit of the City of New York."
NYC_GOID_000182,Description,,"A quasi-judicial body within the Office of Administrative Trials and Hearings (OATH) that formulates policies and holds hearings for individuals and businesses that have received notices of violations from one of the City’s enforcement agencies. These violations include public health and safety matters, illegal dumping and medical waste disposal, as well as quality of life violations such as street obstructions, dirty sidewalks, littering and illegal vending."
NYC_GOID_000183,Description,,"The Environmental Justice Advisory Board’s purpose is to:
•	Consult with the environmental justice interagency working group in the preparation of the environmental justice plan.
•	Convey public comments received at hearings as well as its own comments regarding the draft environmental justice plan.
•	Make recommendations to the interagency working group concerning any matter considered by, or action to be taken by, the interagency working group or for otherwise promoting environmental justice.
•	Review proposed and final environmental justice plans, and proposed revisions, and make recommendations to the interagency working group relating to such plans and proposed revisions.
•	Recommend agencies or offices for inclusion in the interagency working group.
The advisory board shall hold public meetings, as it deems appropriate, for the purpose of (i) fact-finding, (ii) receiving public comments, (iii) discussing recommendations submitted to, or to be submitted to, the interagency working group and (iv) promoting environmental justice."
NYC_GOID_000184,Description,,"Establishes a task force to identify and assess agency needs for textile goods and make recommendations for purchasing such goods in an environmentally preferable manner. Additionally, the task force would be required to identify other costs associated with agency textile consumption, including the health and safety effects on laborers in the supply chain and the communities in which textile goods are produced, processed and manufactured.
The task force shall submit a report to the mayor and the speaker setting forth in detail the task force’s findings, conclusions, and any supporting methodology and analysis, that form the basis of the task force’s guidelines for environmentally preferable purchasing of textiles. The Director shall publish the report no later than 5 days after its submission to the Mayor and Speaker
This local law takes effect 180 days after it becomes law (April 23, 2022). All appointments shall be made no later than 180 days after the effective date of the local law (October 20, 2022). The task force shall terminate 180 days after the date it completes its submission to the Mayor and Speaker."
NYC_GOID_000185,Description,"This Commission is an independent City agency composed of a Chair and four other members, all appointed for staggered four year terms. The Commission is responsible for monitoring the equal employment programs, practices, policies, and procedures of all local government agencies that are funded in whole or in part by the City, or have a majority of board members who are appointed by the Mayor, or serve by virtue of being City officers.","The EEPC is the independent monitor of the City of New York’s employment practices.  The Commission monitors and evaluates the employment programs, practices, and procedures of city agencies to ensure that they maintain effective equal employment opportunity (EEO) programs for all who are employed by or seek employment with New York City government New York City Charter Chapter 36 authorizes the EEPC to ensure compliance with the City's Human Rights Law, state and federal anti-discrimination laws, and affirmative employment programs adopted by the City in order to promote effective equal employment opportunity in City employment."
NYC_GOID_000186,Description,,"Civic leaders from diverse backgrounds will help the City formulate a broader post-crisis recovery effort that builds a stronger, safer, and fairer economy and society."
NYC_GOID_000190,Description,,"The board advises FISA, which is an information technology services agency responsible for providing City officials with Citywide financial, payroll and human resources information."
